id,generation,founder,dosage
0,0,1,426.0
1,0,1,428.0
2,0,1,419.0
3,0,1,424.0
4,0,1,406.0
5,0,1,411.0
6,0,1,399.0
7,0,1,416.0
8,0,1,
9,0,1,413.0
10,0,1,402.0
11,0,1,414.0
12,0,1,435.0
13,0,1,425.0
14,0,1,409.0
15,0,1,
16,0,1,415.0
17,0,1,426.0
18,0,1,427.0
19,0,1,
20,0,1,
21,0,1,
22,0,1,404.0
23,0,1,
24,0,1,425.0
25,0,1,
26,0,1,
27,0,1,
28,0,1,
29,0,1,
30,0,1,428.0
31,0,1,
32,0,1,422.0
33,0,1,419.0
34,0,1,400.0
35,0,1,405.0
36,0,1,
37,0,1,
38,0,1,
39,0,1,
40,0,1,
41,0,1,419.0
42,0,1,
43,0,1,415.0
44,0,1,
45,0,1,
46,0,1,421.0
47,0,1,416.0
48,0,1,423.0
49,0,1,412.0
50,0,1,
51,0,1,
52,0,1,
53,0,1,411.0
54,0,1,
55,0,1,
56,0,1,429.0
57,0,1,417.0
58,0,1,401.0
59,0,1,
60,0,1,
61,0,1,389.0
62,0,1,
63,0,1,431.0
64,0,1,428.0
65,0,1,
66,0,1,406.0
67,0,1,448.0
68,0,1,
69,0,1,415.0
70,0,1,
71,0,1,
72,0,1,
73,0,1,
74,0,1,
75,0,1,410.0
76,0,1,
77,0,1,427.0
78,0,1,
79,0,1,417.0
80,0,1,411.0
81,0,1,419.0
82,0,1,
83,0,1,
84,0,1,410.0
85,0,1,426.0
86,0,1,422.0
87,0,1,410.0
88,0,1,
89,0,1,
90,0,1,
91,0,1,
92,0,1,
93,0,1,427.0
94,0,1,
95,0,1,
96,0,1,
97,0,1,413.0
98,0,1,
99,0,1,434.0
100,0,1,403.0
101,0,1,
102,0,1,396.0
103,0,1,423.0
104,0,1,
105,0,1,
106,0,1,
107,0,1,
108,0,1,399.0
109,0,1,
110,0,1,
111,0,1,421.0
112,0,1,432.0
113,0,1,
114,0,1,
115,0,1,
116,0,1,423.0
117,0,1,
118,0,1,415.0
119,0,1,
120,0,1,
121,0,1,
122,0,1,402.0
123,0,1,398.0
124,0,1,
125,0,1,424.0
126,0,1,
127,0,1,
128,0,1,
129,0,1,
130,0,1,397.0
131,0,1,
132,0,1,409.0
133,0,1,418.0
134,0,1,434.0
135,0,1,
136,0,1,
137,0,1,439.0
138,0,1,421.0
139,0,1,
140,0,1,386.0
141,0,1,411.0
142,0,1,
143,0,1,410.0
144,0,1,
145,0,1,
146,0,1,
147,0,1,409.0
148,0,1,
149,0,1,
150,0,1,425.0
151,0,1,403.0
152,0,1,411.0
153,0,1,399.0
154,0,1,417.0
155,0,1,410.0
156,0,1,
157,0,1,429.0
158,0,1,425.0
159,0,1,418.0
160,0,1,396.0
161,0,1,421.0
162,0,1,
163,0,1,424.0
164,0,1,
165,0,1,425.0
166,0,1,
167,0,1,
168,0,1,426.0
169,0,1,416.0
170,0,1,
171,0,1,422.0
172,0,1,
173,0,1,409.0
174,0,1,
175,0,1,
176,0,1,406.0
177,0,1,
178,0,1,434.0
179,0,1,
180,0,1,
181,0,1,431.0
182,0,1,
183,0,1,432.0
184,0,1,414.0
185,0,1,
186,0,1,409.0
187,0,1,418.0
188,0,1,
189,0,1,422.0
190,0,1,435.0
191,0,1,
192,0,1,407.0
193,0,1,422.0
194,0,1,412.0
195,0,1,401.0
196,0,1,
197,0,1,
198,0,1,
199,0,1,
200,0,1,
201,0,1,422.0
202,0,1,
203,0,1,418.0
204,0,1,
205,0,1,436.0
206,0,1,
207,0,1,406.0
208,0,1,
209,0,1,
210,0,1,
211,0,1,429.0
212,0,1,412.0
213,0,1,397.0
214,0,1,421.0
215,0,1,408.0
216,0,1,398.0
217,0,1,402.0
218,0,1,395.0
219,0,1,392.0
220,0,1,
221,0,1,410.0
222,0,1,
223,0,1,
224,0,1,409.0
225,0,1,407.0
226,0,1,426.0
227,0,1,407.0
228,0,1,416.0
229,0,1,
230,0,1,
231,0,1,
232,0,1,
233,0,1,
234,0,1,432.0
235,0,1,
236,0,1,417.0
