parent,child
115,500
117,500
115,501
117,501
436,502
418,502
436,503
418,503
411,504
215,504
411,505
215,505
81,506
299,506
81,507
299,507
279,508
26,508
279,509
26,509
149,510
55,510
149,511
55,511
337,512
400,512
337,513
400,513
58,514
79,514
58,515
79,515
43,516
404,516
43,517
404,517
347,518
114,518
347,519
114,519
304,520
343,520
304,521
343,521
219,522
336,522
219,523
336,523
282,524
167,524
282,525
167,525
22,526
227,526
22,527
227,527
211,528
21,528
211,529
21,529
346,530
231,530
346,531
231,531
314,532
212,532
314,533
212,533
349,534
175,534
349,535
175,535
118,536
40,536
118,537
40,537
48,538
14,538
48,539
14,539
339,540
199,540
339,541
199,541
141,542
496,542
141,543
496,543
105,544
64,544
105,545
64,545
284,546
384,546
284,547
384,547
281,548
466,548
281,549
466,549
164,550
291,550
164,551
291,551
474,552
275,552
474,553
275,553
163,554
303,554
163,555
303,555
28,556
273,556
28,557
273,557
63,558
470,558
63,559
470,559
324,560
269,560
324,561
269,561
18,562
34,562
18,563
34,563
417,564
405,564
417,565
405,565
297,566
183,566
297,567
183,567
44,568
433,568
44,569
433,569
180,570
465,570
180,571
465,571
493,572
244,572
493,573
244,573
181,574
82,574
181,575
82,575
302,576
464,576
302,577
464,577
352,578
116,578
352,579
116,579
422,580
482,580
422,581
482,581
491,582
494,582
491,583
494,583
221,584
414,584
221,585
414,585
190,586
379,586
190,587
379,587
84,588
362,588
84,589
362,589
358,590
172,590
358,591
172,591
136,592
330,592
136,593
330,593
217,594
53,594
217,595
53,595
416,596
386,596
416,597
386,597
60,598
380,598
60,599
380,599
456,600
186,600
456,601
186,601
42,602
146,602
42,603
146,603
378,604
192,604
378,605
192,605
313,606
454,606
313,607
454,607
268,608
15,608
268,609
15,609
50,610
498,610
50,611
498,611
325,612
437,612
325,613
437,613
368,614
67,614
368,615
67,615
391,616
157,616
391,617
157,617
412,618
196,618
412,619
196,619
228,620
229,620
228,621
229,621
145,622
52,622
145,623
52,623
225,624
125,624
225,625
125,625
71,626
312,626
71,627
312,627
394,628
377,628
394,629
377,629
249,630
408,630
249,631
408,631
274,632
230,632
274,633
230,633
5,634
68,634
5,635
68,635
322,636
129,636
322,637
129,637
481,638
104,638
481,639
104,639
30,640
139,640
30,641
139,641
152,642
406,642
152,643
406,643
453,644
20,644
453,645
20,645
262,646
460,646
262,647
460,647
265,648
76,648
265,649
76,649
27,650
241,650
27,651
241,651
331,652
240,652
331,653
240,653
447,654
289,654
447,655
289,655
10,656
38,656
10,657
38,657
294,658
130,658
294,659
130,659
469,660
280,660
469,661
280,661
435,662
431,662
435,663
431,663
100,664
13,664
100,665
13,665
462,666
120,666
462,667
120,667
329,668
350,668
329,669
350,669
449,670
356,670
449,671
356,671
353,672
485,672
353,673
485,673
488,674
184,674
488,675
184,675
90,676
415,676
90,677
415,677
393,678
88,678
393,679
88,679
46,680
16,680
46,681
16,681
441,682
122,682
441,683
122,683
478,684
432,684
478,685
432,685
455,686
91,686
455,687
91,687
236,688
29,688
236,689
29,689
205,690
216,690
205,691
216,691
445,692
328,692
445,693
328,693
308,694
168,694
308,695
168,695
287,696
419,696
287,697
419,697
375,698
402,698
375,699
402,699
426,700
410,700
426,701
410,701
305,702
390,702
305,703
390,703
383,704
94,704
383,705
94,705
232,706
35,706
232,707
35,707
162,708
338,708
162,709
338,709
285,710
201,710
285,711
201,711
25,712
138,712
25,713
138,713
69,714
468,714
69,715
468,715
233,716
188,716
233,717
188,717
220,718
11,718
220,719
11,719
319,720
238,720
319,721
238,721
364,722
12,722
364,723
12,723
154,724
369,724
154,725
369,725
45,726
62,726
45,727
62,727
413,728
381,728
413,729
381,729
171,730
243,730
171,731
243,731
259,732
144,732
259,733
144,733
286,734
160,734
286,735
160,735
446,736
3,736
446,737
3,737
111,738
427,738
111,739
427,739
151,740
323,740
151,741
323,741
283,742
148,742
283,743
148,743
54,744
301,744
54,745
301,745
245,746
257,746
245,747
257,747
33,748
457,748
33,749
457,749
499,750
108,750
499,751
108,751
309,752
473,752
309,753
473,753
357,754
425,754
357,755
425,755
490,756
497,756
490,757
497,757
475,758
98,758
475,759
98,759
363,760
86,760
363,761
86,761
166,762
463,762
166,763
463,763
442,764
458,764
442,765
458,765
251,766
438,766
251,767
438,767
57,768
126,768
57,769
126,769
123,770
440,770
123,771
440,771
472,772
176,772
472,773
176,773
0,774
187,774
0,775
187,775
159,776
178,776
159,777
178,777
179,778
492,778
179,779
492,779
398,780
326,780
398,781
326,781
193,782
56,782
193,783
56,783
332,784
41,784
332,785
41,785
6,786
256,786
6,787
256,787
316,788
271,788
316,789
271,789
197,790
392,790
197,791
392,791
345,792
424,792
345,793
424,793
239,794
155,794
239,795
155,795
487,796
103,796
487,797
103,797
396,798
495,798
396,799
495,799
213,800
365,800
213,801
365,801
2,802
344,802
2,803
344,803
397,804
252,804
397,805
252,805
359,806
354,806
359,807
354,807
132,808
165,808
132,809
165,809
202,810
476,810
202,811
476,811
310,812
204,812
310,813
204,813
200,814
121,814
200,815
121,815
477,816
292,816
477,817
292,817
258,818
480,818
258,819
480,819
173,820
248,820
173,821
248,821
351,822
4,822
351,823
4,823
110,824
407,824
110,825
407,825
150,826
237,826
150,827
237,827
80,828
66,828
80,829
66,829
467,830
133,830
467,831
133,831
255,832
288,832
255,833
288,833
382,834
83,834
382,835
83,835
224,836
399,836
224,837
399,837
77,838
106,838
77,839
106,839
195,840
340,840
195,841
340,841
483,842
389,842
483,843
389,843
127,844
72,844
127,845
72,845
209,846
298,846
209,847
298,847
96,848
355,848
96,849
355,849
373,850
459,850
373,851
459,851
471,852
300,852
471,853
300,853
272,854
401,854
272,855
401,855
153,856
208,856
153,857
208,857
428,858
277,858
428,859
277,859
335,860
385,860
335,861
385,861
210,862
102,862
210,863
102,863
320,864
395,864
320,865
395,865
376,866
207,866
376,867
207,867
264,868
270,868
264,869
270,869
99,870
342,870
99,871
342,871
403,872
315,872
403,873
315,873
78,874
137,874
78,875
137,875
36,876
47,876
36,877
47,877
203,878
31,878
203,879
31,879
51,880
73,880
51,881
73,881
191,882
169,882
191,883
169,883
156,884
484,884
156,885
484,885
128,886
421,886
128,887
421,887
361,888
226,888
361,889
226,889
388,890
85,890
388,891
85,891
366,892
214,892
366,893
214,893
147,894
489,894
147,895
489,895
8,896
135,896
8,897
135,897
409,898
95,898
409,899
95,899
189,900
93,900
189,901
93,901
367,902
194,902
367,903
194,903
296,904
235,904
296,905
235,905
461,906
434,906
461,907
434,907
372,908
321,908
372,909
321,909
222,910
448,910
222,911
448,911
360,912
223,912
360,913
223,913
423,914
101,914
423,915
101,915
295,916
65,916
295,917
65,917
1,918
387,918
1,919
387,919
131,920
161,920
131,921
161,921
348,922
198,922
348,923
198,923
182,924
37,924
182,925
37,925
107,926
450,926
107,927
450,927
234,928
59,928
234,929
59,929
444,930
61,930
444,931
61,931
32,932
87,932
32,933
87,933
307,934
261,934
307,935
261,935
266,936
318,936
266,937
318,937
142,938
253,938
142,939
253,939
306,940
185,940
306,941
185,941
263,942
246,942
263,943
246,943
250,944
327,944
250,945
327,945
486,946
439,946
486,947
439,947
311,948
334,948
311,949
334,949
177,950
109,950
177,951
109,951
317,952
143,952
317,953
143,953
170,954
278,954
170,955
278,955
218,956
333,956
218,957
333,957
276,958
140,958
276,959
140,959
260,960
112,960
260,961
112,961
430,962
174,962
430,963
174,963
479,964
89,964
479,965
89,965
75,966
452,966
75,967
452,967
9,968
70,968
9,969
70,969
429,970
49,970
429,971
49,971
254,972
17,972
254,973
17,973
420,974
370,974
420,975
370,975
451,976
23,976
451,977
23,977
74,978
92,978
74,979
92,979
247,980
267,980
247,981
267,981
24,982
39,982
24,983
39,983
158,984
371,984
158,985
371,985
443,986
341,986
443,987
341,987
290,988
19,988
290,989
19,989
374,990
242,990
374,991
242,991
113,992
124,992
113,993
124,993
293,994
97,994
293,995
97,995
206,996
134,996
206,997
134,997
7,998
119,998
7,999
119,999
776,1000
707,1000
776,1001
707,1001
802,1002
986,1002
802,1003
986,1003
718,1004
884,1004
718,1005
884,1005
810,1006
576,1006
810,1007
576,1007
956,1008
692,1008
956,1009
692,1009
705,1010
755,1010
705,1011
