id,generation,founder,dosage
0,0,1,426
1,0,1,428
2,0,1,419
3,0,1,424
4,0,1,406
5,0,1,411
6,0,1,399
7,0,1,416
8,0,1,414
9,0,1,413
10,0,1,402
11,0,1,414
12,0,1,435
13,0,1,425
14,0,1,409
15,0,1,418
16,0,1,415
17,0,1,426
18,0,1,427
19,0,1,411
20,0,1,437
21,0,1,434
22,0,1,404
23,0,1,408
24,0,1,425
25,0,1,397
26,0,1,419
27,0,1,426
28,0,1,419
29,0,1,404
30,0,1,428
31,0,1,411
32,0,1,422
33,0,1,419
34,0,1,400
35,0,1,405
36,0,1,423
37,0,1,412
38,0,1,420
39,0,1,417
40,0,1,428
41,0,1,419
42,0,1,422
43,0,1,415
44,0,1,434
45,0,1,414
46,0,1,421
47,0,1,416
48,0,1,423
49,0,1,412
50,0,1,424
51,0,1,419
52,0,1,427
53,0,1,411
54,0,1,405
55,0,1,419
56,0,1,429
57,0,1,417
58,0,1,401
59,0,1,395
60,0,1,417
61,0,1,389
62,0,1,410
63,0,1,431
64,0,1,428
65,0,1,409
66,0,1,406
67,0,1,448
68,0,1,420
69,0,1,415
70,0,1,419
71,0,1,405
72,0,1,420
73,0,1,425
74,0,1,421
75,0,1,410
76,0,1,426
77,0,1,427
78,0,1,412
79,0,1,417
80,0,1,411
81,0,1,419
82,0,1,417
83,0,1,428
84,0,1,410
85,0,1,426
86,0,1,422
87,0,1,410
88,0,1,416
89,0,1,392
90,0,1,424
91,0,1,426
92,0,1,409
93,0,1,427
94,0,1,412
95,0,1,418
96,0,1,440
97,0,1,413
98,0,1,402
99,0,1,434
100,0,1,403
101,0,1,412
102,0,1,396
103,0,1,423
104,0,1,411
105,0,1,401
106,0,1,414
107,0,1,416
108,0,1,399
109,0,1,413
110,0,1,430
111,0,1,421
112,0,1,432
113,0,1,420
114,0,1,423
115,0,1,423
116,0,1,423
117,0,1,413
118,0,1,415
119,0,1,433
120,0,1,419
121,0,1,421
122,0,1,402
123,0,1,398
124,0,1,424
125,0,1,424
126,0,1,421
127,0,1,432
128,0,1,416
129,0,1,395
130,0,1,397
131,0,1,421
132,0,1,409
133,0,1,418
134,0,1,434
135,0,1,419
136,0,1,406
137,0,1,439
138,0,1,421
139,0,1,410
140,0,1,386
141,0,1,411
142,0,1,406
143,0,1,410
144,0,1,415
145,0,1,391
146,0,1,418
147,0,1,409
148,0,1,402
149,0,1,417
150,0,1,425
151,0,1,403
152,0,1,411
153,0,1,399
154,0,1,417
155,0,1,410
156,0,1,410
157,0,1,429
158,0,1,425
159,0,1,418
160,0,1,396
161,0,1,421
162,0,1,424
163,0,1,424
164,0,1,405
165,0,1,425
166,0,1,390
167,0,1,427
168,0,1,426
169,0,1,416
170,0,1,426
171,0,1,422
172,0,1,413
173,0,1,409
174,0,1,392
175,0,1,422
176,0,1,406
177,0,1,416
178,0,1,434
179,0,1,411
180,0,1,411
181,0,1,431
182,0,1,398
183,0,1,432
184,0,1,414
185,0,1,411
186,0,1,409
187,0,1,418
188,0,1,422
189,0,1,422
190,0,1,435
191,0,1,434
192,0,1,407
193,0,1,422
194,0,1,412
195,0,1,401
196,0,1,406
197,0,1,405
198,0,1,384
199,0,1,401
200,0,1,417
201,0,1,422
202,0,1,431
203,0,1,418
204,0,1,417
205,0,1,436
206,0,1,417
207,0,1,406
208,0,1,405
209,0,1,423
210,0,1,401
211,0,1,429
212,0,1,412
213,0,1,397
214,0,1,421
215,0,1,408
216,0,1,398
217,0,1,402
218,0,1,395
219,0,1,392
220,0,1,412
221,0,1,410
222,0,1,432
223,0,1,436
224,0,1,409
225,0,1,407
226,0,1,426
227,0,1,407
228,0,1,416
229,0,1,413
230,0,1,427
231,0,1,394
232,0,1,424
233,0,1,406
234,0,1,432
235,0,1,403
236,0,1,417
237,0,1,435
238,0,1,434
239,0,1,409
240,0,1,413
241,0,1,406
242,0,1,432
243,0,1,396
244,0,1,405
245,0,1,432
246,0,1,432
247,0,1,418
248,0,1,397
249,0,1,409
250,0,1,411
251,0,1,412
252,0,1,433
253,0,1,453
254,0,1,446
255,0,1,411
256,0,1,432
257,0,1,431
258,0,1,427
259,0,1,411
260,0,1,409
261,0,1,416
262,0,1,418
263,0,1,410
264,0,1,428
265,0,1,413
266,0,1,420
267,0,1,409
268,0,1,419
269,0,1,410
270,0,1,416
271,0,1,411
272,0,1,420
273,0,1,415
274,0,1,403
275,0,1,424
276,0,1,410
277,0,1,412
278,0,1,419
279,0,1,418
280,0,1,419
281,0,1,450
282,0,1,416
283,0,1,395
284,0,1,417
285,0,1,419
286,0,1,418
287,0,1,414
288,0,1,406
289,0,1,409
290,0,1,429
291,0,1,408
292,0,1,417
293,0,1,420
294,0,1,420
295,0,1,411
296,0,1,412
297,0,1,435
298,0,1,411
299,0,1,417
300,0,1,441
301,0,1,419
302,0,1,421
303,0,1,427
304,0,1,413
305,0,1,439
306,0,1,417
307,0,1,407
308,0,1,423
309,0,1,417
310,0,1,415
311,0,1,434
312,0,1,397
313,0,1,424
314,0,1,447
315,0,1,414
316,0,1,399
317,0,1,419
318,0,1,416
319,0,1,437
320,0,1,424
321,0,1,423
322,0,1,416
323,0,1,430
324,0,1,447
325,0,1,434
326,0,1,406
327,0,1,415
328,0,1,408
329,0,1,394
330,0,1,406
331,0,1,423
332,0,1,415
333,0,1,424
334,0,1,422
335,0,1,428
336,0,1,430
337,0,1,428
338,0,1,411
339,0,1,421
340,0,1,416
341,0,1,393
342,0,1,410
343,0,1,398
344,0,1,425
345,0,1,416
346,0,1,412
347,0,1,417
348,0,1,436
349,0,1,413
350,0,1,417
351,0,1,412
352,0,1,412
353,0,1,415
354,0,1,422
355,0,1,419
356,0,1,423
357,0,1,429
358,0,1,409
359,0,1,414
360,0,1,405
361,0,1,396
362,0,1,416
363,0,1,419
364,0,1,405
365,0,1,423
366,0,1,430
367,0,1,415
368,0,1,421
369,0,1,425
370,0,1,422
371,0,1,394
372,0,1,409
373,0,1,422
374,0,1,406
375,0,1,419
376,0,1,398
377,0,1,425
378,0,1,408
379,0,1,402
380,0,1,405
381,0,1,390
382,0,1,441
383,0,1,412
384,0,1,398
385,0,1,436
386,0,1,438
387,0,1,417
388,0,1,418
389,0,1,378
390,0,1,401
391,0,1,407
392,0,1,395
393,0,1,418
394,0,1,429
395,0,1,402
396,0,1,405
397,0,1,431
398,0,1,410
399,0,1,414
400,0,1,410
401,0,1,399
402,0,1,413
403,0,1,420
404,0,1,427
405,0,1,426
406,0,1,425
407,0,1,407
408,0,1,435
409,0,1,419
410,0,1,438
411,0,1,389
412,0,1,399
413,0,1,409
414,0,1,422
415,0,1,430
416,0,1,446
417,0,1,411
418,0,1,418
419,0,1,426
420,0,1,406
421,0,1,414
422,0,1,389
423,0,1,440
424,0,1,400
425,0,1,402
426,0,1,403
427,0,1,412
428,0,1,408
429,0,1,428
430,0,1,417
431,0,1,419
432,0,1,389
433,0,1,412
434,0,1,414
435,0,1,404
436,0,1,443
437,0,1,418
438,0,1,426
439,0,1,421
440,0,1,418
441,0,1,433
442,0,1,407
443,0,1,432
444,0,1,421
445,0,1,422
446,0,1,408
447,0,1,434
448,0,1,413
449,0,1,442
450,0,1,421
451,0,1,425
452,0,1,404
453,0,1,430
454,0,1,403
455,0,1,419
456,0,1,429
457,0,1,417
458,0,1,391
459,0,1,412
460,0,1,407
461,0,1,413
462,0,1,400
463,0,1,412
464,0,1,432
465,0,1,407
466,0,1,412
467,0,1,417
468,0,1,409
469,0,1,410
470,0,1,410
471,0,1,400
472,0,1,423
473,0,1,428
474,0,1,416
475,0,1,430
476,0,1,414
477,0,1,416
478,0,1,412
479,0,1,432
480,0,1,422
481,0,1,419
482,0,1,431
483,0,1,402
484,0,1,420
485,0,1,424
486,0,1,430
487,0,1,444
488,0,1,392
489,0,1,430
490,0,1,431
491,0,1,430
492,0,1,404
493,0,1,423
494,0,1,404
495,0,1,416
496,0,1,418
497,0,1,406
498,0,1,398
499,0,1,431
500,1,0,440
501,1,0,421
502,1,0,419
503,1,0,421
504,1,0,394
505,1,0,416
506,1,0,412
507,1,0,403
508,1,0,405
509,1,0,413
510,1,0,404
511,1,0,399
512,1,0,436
513,1,0,441
514,1,0,425
515,1,0,399
516,1,0,411
517,1,0,424
518,1,0,415
519,1,0,429
520,1,0,425
521,1,0,414
522,1,0,413
523,1,0,406
524,1,0,413
525,1,0,425
526,1,0,420
527,1,0,418
528,1,0,419
529,1,0,411
530,1,0,404
531,1,0,413
532,1,0,427
533,1,0,408
534,1,0,393
535,1,0,412
536,1,0,396
537,1,0,419
538,1,0,419
539,1,0,413
540,1,0,417
541,1,0,409
542,1,0,413
543,1,0,411
544,1,0,414
545,1,0,418
546,1,0,409
547,1,0,421
548,1,0,409
549,1,0,406
550,1,0,423
551,1,0,425
552,1,0,435
553,1,0,412
554,1,0,422
555,1,0,405
556,1,0,438
557,1,0,419
558,1,0,391
559,1,0,398
560,1,0,400
561,1,0,414
562,1,0,425
563,1,0,430
564,1,0,410
565,1,0,419
566,1,0,421
567,1,0,417
568,1,0,408
569,1,0,415
570,1,0,395
571,1,0,423
572,1,0,405
573,1,0,422
574,1,0,393
575,1,0,405
576,1,0,419
577,1,0,418
578,1,0,425
579,1,0,418
580,1,0,417
581,1,0,403
582,1,0,443
583,1,0,402
584,1,0,431
585,1,0,417
586,1,0,416
587,1,0,385
588,1,0,391
589,1,0,412
590,1,0,418
591,1,0,414
592,1,0,417
593,1,0,402
594,1,0,412
595,1,0,419
596,1,0,427
597,1,0,433
598,1,0,417
599,1,0,427
600,1,0,388
601,1,0,406
602,1,0,409
603,1,0,418
604,1,0,417
605,1,0,406
606,1,0,414
607,1,0,421
608,1,0,423
609,1,0,420
610,1,0,444
611,1,0,444
612,1,0,416
613,1,0,412
614,1,0,417
615,1,0,396
616,1,0,395
617,1,0,409
618,1,0,426
619,1,0,421
620,1,0,420
621,1,0,412
622,1,0,399
623,1,0,413
624,1,0,418
625,1,0,433
626,1,0,428
627,1,0,412
628,1,0,416
629,1,0,412
630,1,0,400
631,1,0,400
632,1,0,394
633,1,0,420
634,1,0,407
635,1,0,439
636,1,0,420
637,1,0,442
638,1,0,407
639,1,0,410
640,1,0,398
641,1,0,399
642,1,0,406
643,1,0,421
644,1,0,424
645,1,0,395
646,1,0,415
647,1,0,418
648,1,0,412
649,1,0,397
650,1,0,427
651,1,0,425
652,1,0,409
653,1,0,391
654,1,0,408
655,1,0,424
656,1,0,404
657,1,0,419
658,1,0,438
659,1,0,423
660,1,0,416
661,1,0,393
662,1,0,418
663,1,0,422
664,1,0,412
665,1,0,432
666,1,0,398
667,1,0,404
668,1,0,418
669,1,0,409
670,1,0,441
