variant_index,position,maf,beta,is_causal
0,401.0,0.0102,0.0,0
1,453.0,0.2135,0.0,0
2,516.0,0.2703,0.0,0
3,2232.0,0.12390000000000001,0.0,0
4,2449.0,0.081,0.0,0
5,2767.0,0.035,0.0,0
6,2860.0,0.0524,0.0,0
7,4099.0,0.0429,0.0,0
8,4266.0,0.0122,0.0,0
9,4554.0,0.1223,0.0,0
10,5388.0,0.0941,0.0,0
11,5526.0,0.39349999999999996,0.0,0
12,5652.0,0.39349999999999996,0.0,0
13,6834.0,0.0115,0.0,0
14,6910.0,0.0802,0.0,0
15,8190.0,0.0941,0.0,0
16,9994.0,0.0752,0.0,0
17,10884.0,0.07,0.0,0
18,10916.0,0.0447,0.0,0
19,11512.0,0.40590000000000004,0.0,0
20,12037.0,0.03,0.0,0
21,12256.0,0.42190000000000005,0.0,0
22,12863.0,0.1981,0.0,0
23,13913.0,0.41269999999999996,0.0,0
24,13987.0,0.0701,0.0,0
25,14848.0,0.2731,0.0,0
26,17343.0,0.0134,0.0,0
27,17555.0,0.0104,0.0,0
28,17850.0,0.2671,0.0,0
29,19657.0,0.0294,0.0,0
30,20408.0,0.0681,0.0,0
31,20615.0,0.0733,0.0,0
32,20634.0,0.0733,0.0,0
33,21727.0,0.0615,0.0,0
34,22359.0,0.0511,0.0,0
35,22630.0,0.0159,0.0,0
36,24813.0,0.0504,0.0,0
37,26305.0,0.0116,0.0,0
38,28114.0,0.0101,0.0,0
39,30301.0,0.0111,0.0,0
40,31196.0,0.0189,0.0,0
41,31271.0,0.0653,0.0,0
42,31651.0,0.0209,0.0,0
43,31854.0,0.0107,0.0,0
44,32365.0,0.0403,0.0,0
45,34063.0,0.2489,0.0,0
46,34719.0,0.2919,0.0,0
47,36120.0,0.0205,0.0,0
48,36243.0,0.0145,0.0,0
49,37030.0,0.0385,0.0,0
50,39040.0,0.0189,0.0,0
51,40032.0,0.0416,0.0,0
52,40563.0,0.1988,0.0,0
53,40694.0,0.0466,0.0,0
54,42686.0,0.0349,0.0,0
55,43203.0,0.0151,0.0,0
56,43476.0,0.0658,0.0,0
57,44302.0,0.0252,0.0,0
58,44323.0,0.2118,0.0,0
59,44746.0,0.3389,0.0,0
60,44858.0,0.0252,0.0,0
61,44913.0,0.0759,0.0,0
62,45008.0,0.0389,0.0,0
63,48157.0,0.4488,0.0,0
64,51187.0,0.0863,0.0,0
65,51635.0,0.0614,0.0,0
66,52949.0,0.0151,0.0,0
67,53851.0,0.0343,0.0,0
68,54015.0,0.0155,0.0,0
69,54154.0,0.0993,0.0,0
70,54202.0,0.0789,0.0,0
71,54579.0,0.0993,0.0,0
72,54672.0,0.0993,0.0,0
73,55461.0,0.0303,0.0,0
74,56379.0,0.0582,-0.04527395276800304,1
75,56829.0,0.0614,0.0,0
76,57475.0,0.43799999999999994,0.0,0
77,58702.0,0.0379,0.0,0
78,59612.0,0.4284,0.0,0
79,60014.0,0.0445,0.0,0
80,60082.0,0.3294,0.0,0
81,60293.0,0.4284,0.0,0
82,60435.0,0.4284,0.0,0
83,60671.0,0.0231,0.0,0
84,61065.0,0.0404,0.0,0
85,61494.0,0.0343,0.0,0
86,62929.0,0.327,0.0,0
87,63030.0,0.2866,0.0,0
88,63181.0,0.327,0.0,0
89,63387.0,0.1662,0.0,0
90,63998.0,0.3097,0.0,0
91,64774.0,0.0543,0.0,0
92,65062.0,0.1662,0.0,0
93,65976.0,0.0128,0.0,0
94,67435.0,0.0358,0.0,0
95,68172.0,0.11299999999999999,0.0,0
96,69231.0,0.0128,0.0,0
97,69872.0,0.0325,0.0,0
98,70543.0,0.3,0.0,0
99,71182.0,0.031,0.0,0
100,71830.0,0.019,0.0,0
101,72034.0,0.4894,0.0,0
102,72487.0,0.0865,0.0,0
103,72616.0,0.209,0.0,0
104,72623.0,0.3968,0.0,0
105,73290.0,0.2527,0.0,0
106,74444.0,0.0939,-0.04514635890435132,1
107,74863.0,0.102,0.0,0
108,76089.0,0.102,0.0,0
109,78118.0,0.065,0.0,0
110,78970.0,0.3583,0.0,0
111,79589.0,0.3261,0.0,0
112,80861.0,0.3357,0.0,0
113,81748.0,0.0105,0.0,0
114,82654.0,0.4637,-0.030604839952990404,1
115,83154.0,0.0785,0.0,0
116,83155.0,0.0311,0.0,0
117,84571.0,0.0109,0.0,0
118,85985.0,0.0818,0.0,0
119,86846.0,0.0135,0.0,0
120,87038.0,0.0135,0.0,0
121,88730.0,0.0441,0.0,0
122,88935.0,0.1602,0.0,0
123,89648.0,0.2345,0.0,0
124,89722.0,0.2083,0.0,0
125,91022.0,0.1293,0.0,0
126,92734.0,0.1415,0.0,0
127,92747.0,0.0441,0.0,0
128,92791.0,0.34840000000000004,0.0,0
129,93758.0,0.1664,0.0,0
130,94465.0,0.0106,-0.08636602115961745,1
131,95227.0,0.0779,0.0,0
132,98454.0,0.0111,0.0,0
133,98577.0,0.37729999999999997,0.0,0
