variant_index,position,maf,beta,is_causal
0,252.0,0.0615,0.0,0
1,2297.0,0.0186,0.0,0
2,4660.0,0.0355,0.0,0
3,5367.0,0.0155,0.0,0
4,7694.0,0.069,0.062080280105676094,1
5,8647.0,0.2227,0.0,0
6,9060.0,0.1941,0.0,0
7,9365.0,0.3031,0.0,0
8,10350.0,0.49650000000000005,0.0,0
9,10786.0,0.49650000000000005,0.0,0
10,11073.0,0.0186,0.0,0
11,11134.0,0.2208,0.0,0
12,11184.0,0.0342,0.0,0
13,11566.0,0.0348,0.0,0
14,12111.0,0.0342,0.0,0
15,12222.0,0.2208,0.0,0
16,12457.0,0.2208,0.0,0
17,13682.0,0.0176,0.0,0
18,13747.0,0.0419,0.0,0
19,13777.0,0.0342,0.0,0
20,15488.0,0.0384,0.0,0
21,16265.0,0.0354,0.0,0
22,16429.0,0.0384,0.0,0
23,16954.0,0.1099,0.0,0
24,17900.0,0.03839999999999999,0.0,0
25,18004.0,0.2542,0.0,0
26,19010.0,0.0176,0.0,0
27,19316.0,0.2956,0.0,0
28,19692.0,0.0235,0.0,0
29,20164.0,0.0384,0.0,0
30,20438.0,0.496,0.0,0
31,20669.0,0.0204,0.0,0
32,20736.0,0.1299,0.0,0
33,20788.0,0.03839999999999999,0.0,0
34,21412.0,0.1652,0.0,0
35,21616.0,0.0384,0.0,0
36,22122.0,0.2897,0.0,0
37,23024.0,0.0384,0.0,0
38,23762.0,0.0928,0.0,0
39,23772.0,0.03839999999999999,0.0,0
40,23796.0,0.0685,0.0,0
41,23841.0,0.0204,0.0,0
42,23952.0,0.3578,0.0,0
43,25789.0,0.0735,0.0,0
44,26553.0,0.09740000000000004,0.0,0
45,27914.0,0.0267,0.0,0
46,30534.0,0.0707,0.0,0
47,31994.0,0.0258,0.0,0
48,32086.0,0.0376,0.0,0
49,33141.0,0.0228,0.0,0
50,34939.0,0.3351,0.0,0
51,34981.0,0.034,0.0,0
52,36025.0,0.1552,0.0,0
53,36161.0,0.0969,0.0,0
54,36471.0,0.1324,0.0,0
55,36795.0,0.0228,0.0,0
56,37046.0,0.0204,0.0,0
57,37153.0,0.4981,0.0,0
58,37187.0,0.1257,0.0,0
59,39452.0,0.0253,0.0,0
60,40179.0,0.0203,-0.030669904137378363,1
61,40197.0,0.0971,0.0,0
62,40374.0,0.0135,0.0,0
63,40396.0,0.0116,0.0,0
64,40980.0,0.0179,0.0,0
65,41271.0,0.1479,0.0,0
66,41629.0,0.3144,0.0,0
67,42016.0,0.0375,0.0,0
68,42241.0,0.0444,0.0,0
69,42288.0,0.473,0.0,0
70,42323.0,0.0105,0.0,0
71,43190.0,0.1759,-0.07487590359283021,1
72,43508.0,0.0407,0.0,0
73,44712.0,0.0777,0.0,0
74,46088.0,0.0253,0.0,0
75,47609.0,0.0267,0.0,0
76,48519.0,0.1439,0.0,0
77,48990.0,0.0444,0.0,0
78,49404.0,0.1676,0.0,0
79,49616.0,0.0511,0.0,0
80,49898.0,0.0109,0.0,0
81,50382.0,0.0227,0.0,0
82,50536.0,0.2022,0.0,0
83,51150.0,0.1639,0.0,0
84,52248.0,0.0401,0.0,0
85,52991.0,0.0203,0.0,0
86,53961.0,0.0219,0.0,0
87,54105.0,0.0894,0.0,0
88,54868.0,0.45899999999999996,0.0,0
89,55615.0,0.097,0.0,0
90,56500.0,0.0136,0.0,0
91,56538.0,0.0894,0.0,0
92,57163.0,0.0203,0.0,0
93,58046.0,0.0281,0.06254523568059162,1
94,59539.0,0.1989,0.0,0
95,60836.0,0.2466,0.0,0
96,61607.0,0.0853,0.0,0
97,62062.0,0.0196,0.0,0
98,62602.0,0.2567,0.0,0
99,63159.0,0.0203,0.0,0
100,63444.0,0.0279,0.0,0
101,64030.0,0.2793,0.07026598215852005,1
102,65392.0,0.1353,0.0,0
103,66102.0,0.0137,0.0,0
104,66488.0,0.0727,0.0,0
105,66749.0,0.0139,0.0,0
106,66772.0,0.0303,0.0,0
107,67138.0,0.2973,0.0,0
108,67144.0,0.4342,0.0,0
109,68145.0,0.0114,0.0,0
110,69316.0,0.0271,0.0,0
111,69480.0,0.2013,0.0,0
